,content,polygon,spans
118,38.71,"[4.4208, 6.9812, 4.6337, 6.9812, 4.6388, 7.0674, 4.4208, 7.0623]","[{'offset': 21775, 'length': 5}]"
119,47.32,"[5.0494, 6.9711, 5.2725, 6.9761, 5.2725, 7.0623, 5.0494, 7.0522]","[{'offset': 21781, 'length': 5}]"
120,"Incremental charge ""Plus"" is per additional 100 ton/part thereof","[0.6185, 7.6149000000000004, 3.5285, 7.6149000000000004, 3.5285, 7.7468, 0.6185, 7.7468]","[{'offset': 21787, 'length': 64}]"
121,15,"[5.0241, 7.8076, 5.2116, 7.8025, 5.2116, 7.9343, 5.0241, 7.9343]","[{'offset': 21852, 'length': 2}]"
122,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[6.6971, 0.5628000000000001, 9.6679, 0.5628000000000001, 9.6679, 0.6946, 6.6971, 0.6996]","[{'offset': 21855, 'length': 60}]"
123,· A surcharge of 25% is payable for a service either commencing or terminating outside,"[6.3625, 0.9430000000000001, 11.0367, 0.9430000000000001, 11.0367, 1.085, 6.3625, 1.085]","[{'offset': 21916, 'length': 86}]"
124,ordinary working hours on weekdays and Saturdays or on Sundays and public holidays;,"[6.4993, 1.1002, 10.915, 1.1002, 10.915, 1.2421, 6.4993, 1.2421]","[{'offset': 22003, 'length': 83}]"
125,· A surcharge of 50% is payable per tug when an additional tug/vessel is provided on the,"[6.3675, 1.3537, 11.0316, 1.3537, 11.0316, 1.4956, 6.3675, 1.4956]","[{'offset': 22087, 'length': 88}]"
126,request of the master of the vessel or if deemed necessary in the interest of safety by,"[6.4943, 1.5058, 11.0266, 1.5058, 11.0266, 1.6528, 6.4943, 1.6528]","[{'offset': 22176, 'length': 87}]"
127,the Harbour Master; (in addition to the maximum allocation as per craft allocation table),"[6.5044, 1.6629, 11.0266, 1.6629, 11.0266, 1.7998, 6.5044, 1.7998]","[{'offset': 22264, 'length': 89}]"
128,· A surcharge of 50% is payable where a vessel without it's own power is serviced. Should,"[6.3574, 1.9113, 11.0316, 1.9113, 11.0316, 2.0533, 6.3574, 2.0533]","[{'offset': 22354, 'length': 89}]"
129,an additional tug/vessel be provided on the request of the master to service such a ves-,"[6.5044, 2.0634, 11.0215, 2.0634, 11.0215, 2.2054, 6.5044, 2.2105]","[{'offset': 22444, 'length': 88}]"
130,"sel, a 100% surcharge is payable; (in addition to the maximum allocation as per craft","[6.5044, 2.2155, 11.0266, 2.2155, 11.0266, 2.3575, 6.5044, 2.3575]","[{'offset': 22533, 'length': 85}]"
131,allocation table),"[6.5044, 2.3778, 7.346, 2.3778, 7.346, 2.5147, 6.5044, 2.5147]","[{'offset': 22619, 'length': 17}]"
132,· Should the request for a tug/vessel to remain/come on duty outside ordinary working,"[6.3675, 2.6262, 11.0367, 2.6262, 11.0367, 2.7732, 6.3675, 2.7681]","[{'offset': 22637, 'length': 85}]"
133,"hours be cancelled at any time after standby has commenced, the fees as if the service","[6.5044, 2.7782999999999998, 11.0266, 2.7782999999999998, 11.0266, 2.9202, 6.5044, 2.9202]","[{'offset': 22723, 'length': 86}]"
134,"had been performed, are payable, i.e. normal fees enhanced by 25%.","[6.5044, 2.9355, 10.0126, 2.9355, 10.0126, 3.0723, 6.5044, 3.0774]","[{'offset': 22810, 'length': 66}]"
135,. Should a vessel arrive or depart 30 minutes or more after the notified time the fee per,"[6.3675, 3.1839, 11.0266, 3.1889, 11.0266, 3.3208, 6.3675, 3.3208]","[{'offset': 22877, 'length': 89}]"
136,tug per half hour or part thereof is (all ports excluding the Port of Saldanha) ....... 8 050.76,"[6.5095, 3.3512, 11.0063, 3.3461, 11.0063, 3.4779, 6.5095, 3.4881]","[{'offset': 22967, 'length': 96}]"
137,· Port of Saldanha,"[6.3675, 3.5996, 7.351, 3.6047000000000002, 7.351, 3.7213000000000003, 6.3675, 3.7213000000000003]","[{'offset': 23064, 'length': 18}]"
138,10 152.19,"[10.4943, 3.6047000000000002, 11.0012, 3.6097, 11.0012, 3.7213000000000003, 10.4943, 3.7162]","[{'offset': 23083, 'length': 9}]"
139,3.7 MISCELLANEOUS TUG/VESSEL SERVICES,"[6.4334, 3.8075, 9.5817, 3.8075, 9.5817, 3.9646, 6.4334, 3.9646]","[{'offset': 23093, 'length': 37}]"
140,"Tanker fire watch, fire fighting and standby services","[6.3878, 4.1624, 9.0798, 4.1624, 9.0798, 4.2993, 6.3878, 4.2942]","[{'offset': 23131, 'length': 53}]"
141,For remaining/coming on duty outside ordinary working hours for purposes of tanker fire,"[6.3929, 4.3956, 11.0671, 4.3905, 11.0671, 4.5325, 6.3929, 4.5375]","[{'offset': 23185, 'length': 87}]"
142,watch and/or fire fighting during or outside ordinary working hours for any other standby,"[6.3929, 4.5477, 11.0621, 4.5527, 11.0621, 4.6947, 6.3929, 4.6896]","[{'offset': 23273, 'length': 89}]"
143,"services, such as bad weather, for long uninterrupted periods:","[6.3929, 4.6998, 9.5564, 4.6998, 9.5564, 4.8417, 6.3929, 4.8367]","[{'offset': 23363, 'length': 62}]"
144,When foam is used to combat a fire and/or oil spills all costs incurred will be recovered,"[6.3979, 4.933, 11.0671, 4.933, 11.0671, 5.0749, 6.3979, 5.0749]","[{'offset': 23426, 'length': 89}]"
145,from the vessel.,"[6.3929, 5.0952, 7.2243, 5.0952, 7.2243, 5.2118, 6.3929, 5.2118]","[{'offset': 23516, 'length': 16}]"
146,Fees available on application.,"[6.3979, 5.3284, 7.8986, 5.3284, 7.8986, 5.4603, 6.3979, 5.4603]","[{'offset': 23533, 'length': 30}]"
147,All ports excluding the port of Saldanha,"[6.3929, 5.5667, 8.4613, 5.5616, 8.4613, 5.6985, 6.3929, 5.7036]","[{'offset': 23564, 'length': 40}]"
148,"First 12 hours, per tug per hour or part thereof","[6.4030000000000005, 5.805, 8.806000000000001, 5.805, 8.806000000000001, 5.9368, 6.4030000000000005, 5.9419]","[{'offset': 23605, 'length': 48}]"
149,16 098.29,"[10.5247, 5.8101, 11.0316, 5.8101, 11.0316, 5.9317, 10.5247, 5.9267]","[{'offset': 23654, 'length': 9}]"
150,Maximum,"[6.4030000000000005, 6.0585, 6.9201, 6.0585, 6.9201, 6.1599, 6.4030000000000005, 6.1599]","[{'offset': 23664, 'length': 7}]"
151,128 786.47,"[10.4638, 6.0484, 11.0266, 6.0484, 11.0266, 6.165, 10.4638, 6.1599]","[{'offset': 23672, 'length': 10}]"
152,Following 12 hours up to 24 hours per tug per hour or part thereof ..,"[6.4030000000000005, 6.2816, 9.8251, 6.2816, 9.8251, 6.4134, 6.4030000000000005, 6.4134]","[{'offset': 23683, 'length': 69}]"
153,10 735.34,"[10.4943, 6.2461, 11.0266, 6.2359, 11.0266, 6.4185, 10.4943, 6.4286]","[{'offset': 23753, 'length': 9}]"
154,Maximum for 24 hours ..,"[6.4081, 6.5199, 7.6096, 6.5199, 7.6096, 6.6365, 6.4081, 6.6365]","[{'offset': 23763, 'length': 23}]"
155,225 442.89,"[10.4841, 6.5249, 11.0418, 6.5249, 11.0418, 6.6365, 10.4841, 6.6314]","[{'offset': 23787, 'length': 10}]"
156,"Thereafter, per tug per hour or part thereof","[6.3929, 6.7531, 8.6286, 6.7531, 8.6286, 6.895, 6.3929, 6.89]","[{'offset': 23798, 'length': 44}]"
157,8 050.76,"[10.6058, 6.7581, 11.057, 6.7581, 11.057, 6.8697, 10.6058, 6.8697]","[{'offset': 23843, 'length': 8}]"
158,Tariff Book April 2024-March 2025,"[0.5932000000000001, 7.7924, 3.0925, 7.7924, 3.0925, 7.9546, 0.5932000000000001, 7.9597]","[{'offset': 23852, 'length': 33}]"
159,Tariff Book April 2024 - March 2025,"[6.4588, 7.7873, 8.9632, 7.7873, 8.9683, 7.9394, 6.4588, 7.9445]","[{'offset': 23886, 'length': 35}]"
160,16,"[10.844100000000001, 7.7975, 11.0114, 7.7924, 11.0164, 7.9242, 10.844100000000001, 7.9242]","[{'offset': 23922, 'length': 2}]"
0,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[0.8111, 0.5628000000000001, 3.7617000000000003, 0.5628000000000001, 3.7617000000000003, 0.6946, 0.8111, 0.6996]","[{'offset': 23925, 'length': 60}]"
1,At the Port of Saldanha,"[0.5627, 1.1204, 1.7947000000000002, 1.1154, 1.7947000000000002, 1.2523, 0.5627, 1.2523]","[{'offset': 23986, 'length': 23}]"
2,"First 12 hours, per tug per hour or part thereof","[0.5678000000000001, 1.4297, 2.9607, 1.4297, 2.9607, 1.5615, 0.5678000000000001, 1.5615]","[{'offset': 24010, 'length': 48}]"
3,20 304.33,"[4.6895, 1.4297, 5.2066, 1.4297, 5.2066, 1.5463, 4.6895, 1.5463]","[{'offset': 24059, 'length': 9}]"
4,Maximum,"[0.5729000000000001, 1.7389999999999999, 1.1001, 1.7389999999999999, 1.0951, 1.8505, 0.5729000000000001, 1.8454000000000002]","[{'offset': 24069, 'length': 7}]"
5,162 444.27,"[4.6692, 1.7288000000000001, 5.2421, 1.7288000000000001, 5.2421, 1.8556, 4.6692, 1.8505]","[{'offset': 24077, 'length': 10}]"
6,Following 12 hours up to 24 hours per hour or part thereof,"[0.5729000000000001, 2.0381, 3.5538, 2.033, 3.5538, 2.1699, 0.5729000000000001, 2.1699]","[{'offset': 24088, 'length': 58}]"
7,13 537.32,"[4.7097, 2.0381, 5.2218, 2.0381, 5.2218, 2.1547, 4.7097, 2.1496]","[{'offset': 24147, 'length': 9}]"
8,Maximum for 24 hours.,"[0.5729000000000001, 2.3423, 1.749, 2.3423, 1.749, 2.464, 0.5729000000000001, 2.464]","[{'offset': 24157, 'length': 21}]"
9,284 308.38,"[4.6438, 2.3372, 5.2319, 2.3372, 5.2268, 2.464, 4.6438, 2.4589]","[{'offset': 24179, 'length': 10}]"
10,"Thereafter, per tug per hour or part thereof ..","[0.5678000000000001, 2.6414, 2.834, 2.6414, 2.834, 2.7782999999999998, 0.5678000000000001, 2.7834]","[{'offset': 24190, 'length': 47}]"
11,10 152.19,"[4.6793, 2.6414, 5.1914, 2.6414, 5.1914, 2.7631, 4.6793, 2.7631]","[{'offset': 24238, 'length': 9}]"
12,Mobilisation and demobilisation charge for floating cranes,"[0.5678000000000001, 2.9405, 3.6147, 2.9455999999999998, 3.6147, 3.0825, 0.5678000000000001, 3.0774]","[{'offset': 24248, 'length': 58}]"
13,Minimum fee per service at the Port of Durban.,"[0.5678000000000001, 3.2549, 2.9708, 3.2549, 2.9708, 3.3867000000000003, 0.5678000000000001, 3.3917]","[{'offset': 24307, 'length': 46}]"
14,44 374.14,"[4.7097, 3.2599, 5.2319, 3.2599, 5.2319, 3.3765, 4.7097, 3.3765]","[{'offset': 24354, 'length': 9}]"
15,The mobilisation and demobilisation of the floating crane constitutes one service.,"[0.5678000000000001, 3.559, 4.7047, 3.5641, 4.7047, 3.6959, 0.5678000000000001, 3.6858]","[{'offset': 24364, 'length': 82}]"
16,The fee is applicable to each vessel serviced.,"[0.5678000000000001, 3.7162, 2.834, 3.7111, 2.834, 3.843, 0.5678000000000001, 3.843]","[{'offset': 24447, 'length': 46}]"
17,Floating cranes,"[0.5678000000000001, 3.9545, 1.3637000000000001, 3.9596, 1.3587, 4.0863, 0.5678000000000001, 4.0812]","[{'offset': 24494, 'length': 15}]"
18,"For handling loads, per hour or part thereof:","[0.5729000000000001, 4.1877, 2.8238000000000003, 4.1877, 2.8238000000000003, 4.3195, 0.5729000000000001, 4.3195]","[{'offset': 24510, 'length': 45}]"
19,At the Port of Durban.,"[0.5627, 4.3449, 1.6781000000000001, 4.3449, 1.6781000000000001, 4.4666, 0.5627, 4.4666]","[{'offset': 24556, 'length': 22}]"
20,19 017.50,"[4.6844, 4.3398, 5.2015, 4.3398, 5.2015, 4.4615, 4.6844, 4.4615]","[{'offset': 24579, 'length': 9}]"
21,The hire period will be subject to a minimum of 2 hours calculated from the time the crane,"[0.5678000000000001, 4.791, 5.237, 4.791, 5.237, 4.9279, 0.5678000000000001, 4.9279]","[{'offset': 24589, 'length': 90}]"
22,"is placed in position to undertake the service, until it is released. The fee is applicable to","[0.5678000000000001, 4.9431, 5.2319, 4.9431, 5.2319, 5.0902, 0.5678000000000001, 5.0902]","[{'offset': 24680, 'length': 94}]"
23,each vessel serviced.,"[0.5627, 5.1054, 1.6274000000000002, 5.1054, 1.6274000000000002, 5.227, 0.5627, 5.2321]","[{'offset': 24775, 'length': 21}]"
24,Other vessel services:,"[0.5678000000000001, 5.3386, 1.6983000000000001, 5.3386, 1.6983000000000001, 5.4704, 0.5678000000000001, 5.4704]","[{'offset': 24797, 'length': 22}]"
25,Fees for Large Tug per hour or part thereof.,"[0.5678000000000001, 5.5769, 2.7883, 5.5769, 2.7883, 5.7087, 0.5678000000000001, 5.7137]","[{'offset': 24820, 'length': 44}]"
26,"All Ports, except the Port of Ngqura, Port Elizabeth and Saldanha","[0.5627, 5.734, 3.8529999999999998, 5.729, 3.8529999999999998, 5.8557, 0.5627, 5.8608]","[{'offset': 24865, 'length': 65}]"
27,.16 095.12,"[4.6793, 5.734, 5.2319, 5.734, 5.2319, 5.8506, 4.6793, 5.8456]","[{'offset': 24931, 'length': 10}]"
28,Port of Ngqura/Port Elizabeth.,"[0.5678000000000001, 5.8811, 2.1039, 5.876, 2.1039, 6.0129, 0.5678000000000001, 6.0179]","[{'offset': 24942, 'length': 30}]"
29,22 050.30,"[4.7047, 5.8861, 5.2218, 5.8861, 5.2218, 6.0027, 4.7047, 6.0027]","[{'offset': 24973, 'length': 9}]"
30,At the Port of Saldanha for services of a special nature ..,"[0.5678000000000001, 6.1143, 3.3663, 6.1193, 3.3663, 6.2562, 0.5678000000000001, 6.2512]","[{'offset': 24983, 'length': 59}]"
31,20 301.18,"[4.7148, 6.1244, 5.2268, 6.1244, 5.2268, 6.241, 4.7148, 6.2359]","[{'offset': 25043, 'length': 9}]"
32,Fees for Small Tug/ Workboat per hour or part thereof,"[0.5678000000000001, 6.4235, 3.3409, 6.4235, 3.3409, 6.5604, 0.5678000000000001, 6.5553]","[{'offset': 25053, 'length': 53}]"
33,"All Ports, except the Port of East London, Ngqura and Port Elizabeth","[0.5627, 6.7328, 4.0101, 6.7328, 4.0101, 6.8595, 0.5627, 6.8646]","[{'offset': 25107, 'length': 68}]"
34,5 955.53,"[4.7452000000000005, 6.7277000000000005, 5.2066, 6.7277000000000005, 5.2066, 6.8494, 4.7452000000000005, 6.8494]","[{'offset': 25176, 'length': 8}]"
35,Port of East London,"[0.5678000000000001, 6.8798, 1.5716, 6.8798, 1.5716, 7.0066, 0.5678000000000001, 7.0066]","[{'offset': 25185, 'length': 19}]"
36,9 851.06,"[4.7604, 6.8798, 5.2218, 6.8798, 5.2218, 7.0015, 4.7604, 6.9964]","[{'offset': 25205, 'length': 8}]"
37,Port of Ngqura/Port Elizabeth.,"[0.5678000000000001, 7.037, 2.0989, 7.0319, 2.0989, 7.1637, 0.5678000000000001, 7.1688]","[{'offset': 25214, 'length': 30}]"
38,8 159.07,"[4.7503, 7.037, 5.2015, 7.037, 5.2015, 7.1536, 4.7503, 7.1536]","[{'offset': 25245, 'length': 8}]"
39,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[6.7021, 0.5628000000000001, 9.6578, 0.5628000000000001, 9.6578, 0.6946, 6.7021, 0.6996]","[{'offset': 25254, 'length': 60}]"
40,Fees for launch per hour or part thereof,"[6.3929, 1.1154, 8.4309, 1.1154, 8.4309, 1.2573, 6.3929, 1.2573]","[{'offset': 25315, 'length': 40}]"
41,"All Ports, Large Launch.","[6.3878, 1.2675, 7.564, 1.2675, 7.564, 1.3993, 6.3878, 1.3993]","[{'offset': 25356, 'length': 24}]"
42,2 370.85,"[10.6007, 1.2725, 11.0468, 1.2725, 11.0468, 1.3891, 10.6007, 1.3891]","[{'offset': 25381, 'length': 8}]"
43,"All Ports, Small Launch.","[6.3827, 1.4246, 7.569, 1.4246, 7.569, 1.5565, 6.3827, 1.5514000000000001]","[{'offset': 25390, 'length': 24}]"
44,1 659.57,"[10.6007, 1.4297, 11.0367, 1.4297, 11.0367, 1.5463, 10.6007, 1.5412]","[{'offset': 25415, 'length': 8}]"
45,"Port of Ngqura/Port Elizabeth, Large Launch","[6.3878, 1.5767, 8.6286, 1.5767, 8.6286, 1.7136, 6.3878, 1.7085]","[{'offset': 25424, 'length': 43}]"
46,.3 248.01,"[10.5754, 1.5817999999999999, 11.0367, 1.5817999999999999, 11.0367, 1.6984, 10.5703, 1.6984]","[{'offset': 25468, 'length': 9}]"
47,"Port of Ngqura/Port Elizabeth, Small Launch.","[6.3929, 1.7339, 8.6438, 1.7288000000000001, 8.6438, 1.8606, 6.3929, 1.8657]","[{'offset': 25478, 'length': 44}]"
48,2 273.62,"[10.5906, 1.7339, 11.0418, 1.7339, 11.0418, 1.8505, 10.5906, 1.8454000000000002]","[{'offset': 25523, 'length': 8}]"
49,Tugs/vessels involved in salvage: Special conditions apply when services rendered consti-,"[6.3929, 2.18, 11.057, 2.18, 11.057, 2.322, 6.3929, 2.322]","[{'offset': 25532, 'length': 89}]"
50,tute salvage. The Authority reserves the right to claim reward for salvage if the service ren-,"[6.3929, 2.3372, 11.057, 2.3372, 11.057, 2.4741, 6.3929, 2.4741]","[{'offset': 25622, 'length': 94}]"
51,dered to a vessel in distress constitutes salvage.,"[6.3929, 2.4893, 8.8263, 2.4893, 8.8263, 2.6262, 6.3929, 2.6211]","[{'offset': 25717, 'length': 50}]"
52,3.8 BERTHING SERVICES,"[6.4486, 2.6870000000000003, 8.2281, 2.682, 8.2281, 2.829, 6.4486, 2.8341000000000003]","[{'offset': 25768, 'length': 21}]"
53,"The following fees are payable per service, including conveyance of staff, for vessels en-","[6.4233, 2.9659, 11.0164, 2.9608, 11.0164, 3.1028000000000002, 6.4233, 3.1078]","[{'offset': 25790, 'length': 90}]"
54,"tering or leaving a port, shifting berth (including warping along the line of a wharf and","[6.4132, 3.118, 11.0215, 3.1129, 11.0215, 3.2549, 6.4132, 3.265]","[{'offset': 25881, 'length': 89}]"
55,"shifting to or from a drydock or slipway) undergoing engine trials, remooring and crewing,","[6.4233, 3.265, 11.0164, 3.265, 11.0164, 3.412, 6.4233, 3.412]","[{'offset': 25971, 'length': 90}]"
56,"berthing gang standing by or detained at a vessel's request for similar purposes, with or","[6.4233, 3.4222, 11.0266, 3.4171, 11.0266, 3.559, 6.4233, 3.5641]","[{'offset': 26062, 'length': 89}]"
57,without tug/vessel assisting or in attendance (unmooring and mooring of a vessel when,"[6.4182, 3.5793, 11.0215, 3.5743, 11.0215, 3.7162, 6.4182, 3.7162]","[{'offset': 26152, 'length': 85}]"
58,shifting berth or warping alongside the berth.) Berthing services provided when a vessel,"[6.4233, 3.7314, 11.0164, 3.7314, 11.0164, 3.8683, 6.4233, 3.8734]","[{'offset': 26238, 'length': 88}]"
59,shifts berth alongside the berth and will be charged on a per service basis and berthing,"[6.4182, 3.8785, 11.0164, 3.8835, 11.0164, 4.0255, 6.4182, 4.0204]","[{'offset': 26327, 'length': 88}]"
60,and unberthing will be charged as two separate services.,"[6.4132, 4.0356, 9.3079, 4.0356, 9.3079, 4.1776, 6.4132, 4.1725]","[{'offset': 26416, 'length': 56}]"
61,Richards,"[7.3612, 4.3652, 7.8073, 4.3652, 7.8073, 4.4716000000000005, 7.3612, 4.4716000000000005]","[{'offset': 26473, 'length': 8}]"
62,Bay,"[7.4879, 4.497, 7.6856, 4.502, 7.6856, 4.6085, 7.4879, 4.5984]","[{'offset': 26482, 'length': 3}]"
63,Port,"[8.1875, 4.3702, 8.4106, 4.3702, 8.4157, 4.4666, 8.1926, 4.4615]","[{'offset': 26486, 'length': 4}]"
64,Elizabeth,"[8.0709, 4.497, 8.5221, 4.4919, 8.5221, 4.5984, 8.0709, 4.5984]","[{'offset': 26491, 'length': 9}]"
65,/ Ngqura,"[8.0963, 4.6187000000000005, 8.5272, 4.6237, 8.5221, 4.7454, 8.0963, 4.7353000000000005]","[{'offset': 26501, 'length': 8}]"
66,Cape Town,"[8.7908, 4.3652, 9.3536, 4.3652, 9.3536, 4.4818, 8.7908, 4.4767]","[{'offset': 26510, 'length': 9}]"
67,Saldanha,"[9.6121, 4.3652, 10.0735, 4.3652, 10.0735, 4.4716000000000005, 9.6121, 4.4666]","[{'offset': 26520, 'length': 8}]"
68,Other Ports,"[10.3219, 4.3601, 10.91, 4.3652, 10.91, 4.4767, 10.3219, 4.4666]","[{'offset': 26529, 'length': 11}]"
69,Basic fee,"[6.4689, 4.8468, 6.8441, 4.8468, 6.8441, 4.9482, 6.4689, 4.9431]","[{'offset': 26541, 'length': 9}]"
70,3 175.89,"[7.493, 4.8468, 7.8682, 4.8468, 7.8682, 4.9431, 7.493, 4.9431]","[{'offset': 26551, 'length': 8}]"
71,3 838.62,"[8.2737, 4.8468, 8.6438, 4.8468, 8.6438, 4.9482, 8.2737, 4.9431]","[{'offset': 26560, 'length': 8}]"
72,3 052.33,"[9.0443, 4.8468, 9.4245, 4.8468, 9.4245, 4.9482, 9.0443, 4.9431]","[{'offset': 26569, 'length': 8}]"
73,4 006.34,"[9.82, 4.8468, 10.2103, 4.8468, 10.2103, 4.9431, 9.82, 4.9431]","[{'offset': 26578, 'length': 8}]"
74,2 801.91,"[10.5602, 4.8468, 10.9556, 4.8468, 10.9556, 4.9431, 10.5602, 4.9431]","[{'offset': 26587, 'length': 8}]"
75,Plus,"[6.4689, 4.9938, 6.6464, 4.9938, 6.6464, 5.0851, 6.4689, 5.08]","[{'offset': 26596, 'length': 4}]"
76,Per 100 tons or,"[6.4638, 5.1307, 7.1128, 5.1307, 7.1128, 5.2372, 6.4638, 5.2321]","[{'offset': 26601, 'length': 15}]"
77,part thereof,"[6.4689, 5.2727, 6.986, 5.2727, 6.986, 5.3791, 6.4689, 5.3842]","[{'offset': 26617, 'length': 12}]"
78,13.46,"[7.6248000000000005, 5.2777, 7.8783, 5.2727, 7.8783, 5.3741, 7.6248000000000005, 5.3639]","[{'offset': 26630, 'length': 5}]"
79,18.72,"[8.4005, 5.2777, 8.6489, 5.2777, 8.6489, 5.3741, 8.4005, 5.369]","[{'offset': 26636, 'length': 5}]"
80,14.92,"[9.1711, 5.2777, 9.4144, 5.2777, 9.4144, 5.369, 9.1711, 5.369]","[{'offset': 26642, 'length': 5}]"
81,16.97,"[9.9467, 5.2777, 10.1901, 5.2727, 10.1901, 5.369, 9.9467, 5.369]","[{'offset': 26648, 'length': 5}]"
82,13.68,"[10.7122, 5.2777, 10.9657, 5.2727, 10.9657, 5.369, 10.7122, 5.369]","[{'offset': 26654, 'length': 5}]"
83,A surcharge of 50% will be payable in the following instances:,"[6.4081, 5.7695, 9.5564, 5.7695, 9.5564, 5.9216, 6.4081, 5.9216]","[{'offset': 26660, 'length': 62}]"
84,· If the service either terminates or commences outside ordinary working hours;,"[6.4182, 6.0331, 10.5652, 6.0331, 10.5652, 6.1751, 6.4182, 6.165]","[{'offset': 26723, 'length': 79}]"
85,. Should the request for the berthing staff to remain/come on duty outside ordinary,"[6.4132, 6.2005, 11.0316, 6.2005, 11.0316, 6.3475, 6.4132, 6.3424]","[{'offset': 26803, 'length': 83}]"
86,working hours be cancelled at any time after standby has commenced;,"[6.545, 6.3525, 10.1597, 6.3525, 10.1597, 6.4945, 6.545, 6.4945]","[{'offset': 26887, 'length': 67}]"
87,· If the vessel arrives or departs 30 minutes or more after the notified time.,"[6.4132, 6.5199, 10.3117, 6.5199, 10.3117, 6.6618, 6.4132, 6.6618]","[{'offset': 26955, 'length': 78}]"
88,For berthing staff in attendance during or outside ordinary working hours on board tanker,"[6.4182, 6.8291, 11.0164, 6.8291, 11.0164, 6.9711, 6.4182, 6.9711]","[{'offset': 27034, 'length': 89}]"
89,"vessels, discharging crude and petroleum products (including Liquefied Petroleum Gas","[6.4081, 6.9863, 11.0215, 6.9812, 11.0215, 7.1232, 6.4081, 7.1282]","[{'offset': 27124, 'length': 84}]"
90,"vessels) at the Port of Mossel Bay and Port of Saldanha Bay, per hour or part there-","[6.4081, 7.1384, 11.0063, 7.1384, 11.0063, 7.2753, 6.4081, 7.2753]","[{'offset': 27209, 'length': 84}]"
91,of.,"[6.4233, 7.2955, 6.5652, 7.3006, 6.5652, 7.402, 6.4233, 7.3969000000000005]","[{'offset': 27294, 'length': 3}]"
92,1 267.83,"[10.5247, 7.2955, 10.9759, 7.3006, 10.9759, 7.4122, 10.5247, 7.4122]","[{'offset': 27298, 'length': 8}]"
93,Tariff Book April 2024-March 2025,"[0.5932000000000001, 7.7975, 3.0925, 7.7975, 3.0925, 7.9496, 0.5932000000000001, 7.9597]","[{'offset': 27307, 'length': 33}]"
94,17,"[5.0291, 7.8025, 5.2015, 7.8025, 5.2015, 7.9394, 5.0291, 7.9293]","[{'offset': 27341, 'length': 2}]"
95,Tariff Book April 2024 - March 2025,"[6.4537, 7.7873, 8.9683, 7.7873, 8.9683, 7.9394, 6.4537, 7.9445]","[{'offset': 27344, 'length': 35}]"
96,18,"[10.8339, 7.7924, 11.0164, 7.7924, 11.0215, 7.9293, 10.8339, 7.9242]","[{'offset': 27380, 'length': 2}]"
0,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[0.8111, 0.5678000000000001, 3.7617000000000003, 0.5628000000000001, 3.7617000000000003, 0.6946, 0.8111, 0.6996]","[{'offset': 27383, 'length': 60}]"
1,3.9 RUNNING OF VESSEL LINES,"[0.6084, 1.0596, 2.8238000000000003, 1.0596, 2.8238000000000003, 1.2066, 0.6084, 1.2066]","[{'offset': 27444, 'length': 27}]"
2,Running of vessels' lines is where a launch/mooring boat is used to run the vessels' lines,"[0.5729000000000001, 1.4804, 5.1711, 1.4804, 5.1711, 1.6224, 0.5729000000000001, 1.6224]","[{'offset': 27472, 'length': 90}]"
3,(steel wire lines/mooring ropes) from the ship to the bollard. Running of the vessels' lines,"[0.5729000000000001, 1.6274000000000002, 5.1761, 1.6274000000000002, 5.1761, 1.7694, 0.5729000000000001, 1.7745000000000002]","[{'offset': 27563, 'length': 92}]"
4,"or standing by to run lines for vessels entering, leaving or shifting; per service during or","[0.5729000000000001, 1.7846000000000002, 5.1761, 1.7897, 5.1761, 1.9316, 0.5729000000000001, 1.9266]","[{'offset': 27656, 'length': 92}]"
5,outside ordinary working hours:,"[0.5678000000000001, 1.9418000000000002, 2.2155, 1.9418000000000002, 2.2155, 2.0786, 0.5678000000000001, 2.0786]","[{'offset': 27749, 'length': 31}]"
6,Port,"[2.403, 2.2307, 2.6311999999999998, 2.2307, 2.6311999999999998, 2.3372, 2.4081, 2.3372]","[{'offset': 27781, 'length': 4}]"
7,Elizabeth,"[2.2763, 2.3575, 2.7427, 2.3626, 2.7427, 2.469, 2.2763, 2.464]","[{'offset': 27786, 'length': 9}]"
8,/ Ngqura,"[2.3016, 2.4893, 2.7427, 2.4944, 2.7376, 2.6161, 2.3016, 2.6059]","[{'offset': 27796, 'length': 8}]"
9,Cape Town,"[2.91, 2.2307, 3.493, 2.2307, 3.493, 2.3524, 2.91, 2.3524]","[{'offset': 27805, 'length': 9}]"
10,Saldanha,"[3.6755, 2.2358000000000002, 4.1571, 2.2358000000000002, 4.1571, 2.3423, 3.6755, 2.3372]","[{'offset': 27815, 'length': 8}]"
11,Other Ports,"[4.4258, 2.2307, 5.019, 2.2358000000000002, 5.019, 2.3423, 4.4258, 2.3372]","[{'offset': 27824, 'length': 11}]"
12,Per service,"[0.6185, 2.7681, 1.1762, 2.7681, 1.1762, 2.8746, 0.6185, 2.8746]","[{'offset': 27836, 'length': 11}]"
13,2 266.73,"[2.3675, 2.758, 2.8238000000000003, 2.758, 2.8238000000000003, 2.8797, 2.3675, 2.8797]","[{'offset': 27848, 'length': 8}]"
